2012-13 Progress Report Results for High Schools																			
DBN	School Name	School Type	Overall Score	Overall Grade	Percentile Rank	Progress Grade	Performance Grade	Environment Grade	College and Career Readiness Grade	Closing the Achievement Gap Points	Principal	Enrollment	Average English Proficiency	Average Math Proficiency	% Students with Disabilities	% Self-Contained	% Overage	% Black or Hispanic	% ELL
10X243	West Bronx Academy for the Future	High School	48.1	C	12	D	C	C	C	5.8	Wilper Morales	351	2.53	2.68	20.8%	7.1%	7.1%	92.9%	13.1%
10X268	Kingsbridge International High School	High School	66.7	B	62	A	C	B	C	6.1	Ronald Foreman	487	2.05	2.47	2.1%	1.2%	31.4%	91.6%	94.3%
10X284	Bronx School of Law and Finance	High School	57.9	C	31	C	B	C	C	4.9	Jessica Goring	416	2.62	2.79	22.6%	11.5%	13.2%	96.6%	6.7%
10X342	International School for Liberal Arts	High School	69.9	B	67	A	C	B	C	6.6	Francine Cruz	380	2.19	2.72	5.0%	1.3%	11.6%	99.7%	75.5%
10X368	In-Tech Academy (M.S. / High School 368)	High School	49.6	C	14	C	C	C	C	3.8	Yvette Allen	588	2.77	3.05	16.2%	3.6%	3.2%	94.6%	8.0%
10X374	Knowledge and Power Preparatory Academy International High School (Kappa)	High School	84.8	A	93	B	A	A	A	8.3	Panorea Panagiosoulis	427	2.67	2.91	17.6%	7.5%	8.9%	95.3%	13.3%
10X433	High School for Teaching and the Professions	High School	63.9	B	54	B	B	C	A	6.4	Jason Maass	496	2.48	2.69	22.8%	14.5%	13.3%	94.6%	17.3%
10X434	Belmont Preparatory High School	High School	65.9	B	59	B	B	B	B	6.3	Stephen Joseph Gumbs	405	2.59	2.82	15.3%	9.9%	7.4%	95.1%	11.6%
10X437	Fordham High School for the Arts	High School	88.4	A	96	A	A	A	B	8.3	Iris Blige	384	2.67	2.83	23.4%	11.2%	7.0%	96.6%	6.5%
10X438	Fordham Leadership Academy for Business and Technology	High School	52.3	C	21	C	F	A	C	4.4	Mary Ann Tucker	442	2.47	2.60	25.1%	14.5%	14.5%	95.7%	17.0%
10X439	Bronx High School for Law and Community Service	High School	59.0	B	37	C	C	B	C	5.9	Michael Barakat	404	2.50	2.64	24.0%	12.6%	12.4%	96.0%	16.6%
10X440	DeWitt Clinton High School	High School	32.3	F	2	F	D	D	C	2.8	Geraldine Ambrosio	3654	2.60	2.74	20.6%	12.4%	12.6%	89.7%	20.2%
10X442	"Celia Cruz Bronx High School of Music, The"	High School	59.8	B	39	B	B	C	C	3.2	Jerrod Mabry	428	2.88	3.08	10.0%	0.9%	3.7%	95.6%	2.3%
10X445	Bronx High School of Science	High School	85.3	A	94	A	A	C	A	0.0	Valerie Reidy	3060	3.66	4.16	1.5%	0.0%	0.3%	10.3%	0.1%
10X475	John F. Kennedy High School	High School									Lisa Luft	394	2.43	2.49	25.1%	14.2%	16.5%	98.0%	24.9%
10X477	Marble Hill High School for International Studies	High School	87.9	A	96	A	A	A	B	8.1	Kirsten Larson	440	2.67	3.14	9.8%	1.1%	8.2%	82.7%	35.0%
10X524	Crotona International High School	High School									Jesseca Long	148	1.97	2.44	2.0%	1.4%	30.4%	95.9%	95.3%
10X546	Bronx Theatre High School	High School	55.2	C	27	C	C	A	B	5.0	Charles Gallo	437	2.63	2.70	20.6%	9.6%	8.9%	97.5%	9.6%
10X549	Discovery High School	High School	78.9	A	86	A	C	A	B	7.6	Rolando Rivera	536	2.49	2.64	23.9%	13.1%	10.3%	95.3%	23.7%
10X565	High School for Energy and Technology	High School									Ignazio Accardi	106	2.68	3.00	28.3%	17.0%	8.5%	95.3%	13.2%
10X660	Grace Dodge Career and Technical Education High School	High School									Frank Giaimo	733	2.42	2.50	28.5%	17.5%	15.1%	97.3%	21.7%
10X696	High School of American Studies at Lehman College	High School	90.7	A	98	A	A	A	A	0.0	Mr. Alessandro Weiss	395	3.64	4.04	3.8%	0.0%	0.0%	24.3%	0.0%
11X249	Bronx Health Sciences High School	High School	76.5	A	83	B	A	A	A	4.4	Miriam Rivas	347	2.70	3.00	10.4%	5.8%	9.2%	92.8%	3.5%
11X253	Bronx High School for Writing and Communication Arts	High School	54.0	C	24	B	D	A	D	4.1	Terri Lynn Grey	419	2.59	2.58	22.7%	9.5%	14.1%	95.2%	8.6%
11X265	Bronx Lab School	High School	58.4	B	34	B	C	B	C	4.6	Christophe Lagares	477	2.65	2.83	18.0%	7.5%	7.3%	95.0%	6.3%
11X270	Academy for Scholarship and Entrepreneurship: A College Board School	High School	60.5	B	42	B	B	B	C	5.6	Zenobia White	360	2.52	2.57	22.5%	10.6%	8.3%	96.4%	6.1%
11X275	High School of Computers and Technology	High School	89.5	A	97	A	A	A	A	11.1	Bruce Abramowitz	555	2.57	2.84	23.6%	9.4%	8.5%	92.6%	11.0%
11X288	Collegiate Institute for Math and Science	High School	64.6	B	55	C	A	B	A	3.8	Shadia Alvarez	641	2.94	3.23	18.9%	9.0%	5.9%	80.8%	3.4%
11X290	Bronx Academy of Health Careers	High School	67.3	B	64	B	B	B	A	6.4	Dawn Santiago	479	2.54	2.65	23.6%	11.7%	12.1%	95.2%	8.4%
11X299	Astor Collegiate Academy	High School	57.6	C	31	B	C	C	B	4.6	Sandra Burgos	475	2.68	2.85	24.6%	11.4%	6.1%	81.5%	7.2%
11X415	Christopher Columbus High School	High School									Lisa Fuentes	435	2.39	2.39	26.7%	18.6%	15.9%	78.9%	17.2%
11X418	Bronx High School for the Visual Arts	High School	51.1	C	17	C	C	A	C	3.0	G Jones	491	2.66	2.69	26.5%	12.0%	9.0%	91.4%	4.5%
11X455	Harry S Truman High School	High School	61.3	B	46	C	B	B	B	8.9	Sana Nasser	1826	2.52	2.61	28.4%	16.5%	12.2%	95.3%	8.2%
11X508	Bronxdale High School	High School									Carolyne Quintana	222	2.63	2.79	20.3%	9.5%	7.2%	87.8%	7.7%
11X509	High School of Language and Innovation	High School									Julie Nariman	179	2.28	2.55	5.6%	1.7%	21.2%	72.1%	77.1%
11X513	New World High School	High School	84.8	A	93	A	A	A	A	10.0	Fausto Salazar	416	2.20	2.67	4.8%	2.9%	23.1%	83.2%	78.6%
11X514	The Bronxwood Preparatory Academy	High School	59.3	B	38	B	D	B	D	6.0	Janet Gallardo	418	2.46	2.51	25.1%	13.4%	13.4%	92.6%	7.2%
11X541	Global Enterprise High School	High School									Sandra Maldonado	163	2.54	2.53	19.0%	12.9%	11.7%	89.0%	12.9%
11X542	Pelham Preparatory Academy	High School	71.2	A	72	B	A	A	A	3.3	Carlos Santiago	504	2.83	2.97	20.8%	8.7%	4.2%	89.5%	2.2%
11X544	High School for Contemporary Arts	High School	75.8	A	80	B	B	B	C	8.7	Francisco Sanchez	499	2.57	2.64	25.7%	12.6%	13.4%	97.4%	10.4%
11X545	Bronx Aerospace High School	High School	65.1	B	57	C	A	D	B	10.2	Barbara Kirkweg	390	2.55	2.77	34.4%	14.1%	9.7%	94.6%	12.1%
12X242	Mott Hall V	High School									Peter Oroszlany	271	2.67	3.12	23.2%	8.1%	6.6%	93.7%	7.7%
12X245	New Day Academy	High School									Mara Ganeles	60	2.37	2.22	28.3%	10.0%	23.3%	98.3%	10.0%
12X248	"Metropolitan High School, The"	High School	74.2	A	77	B	A	A	B	6.9	Carla Theodorou	324	2.52	2.69	25.6%	12.7%	13.6%	96.9%	18.8%
12X251	Explorations Academy	High School	60.8	B	44	C	B	A	B	6.8	Susana Hernandez	367	2.44	2.57	26.2%	16.1%	12.8%	97.0%	20.7%
12X262	Performance Conservatory High School	High School									Eulynis Matthias Fridie	123	2.51	2.39	33.3%	17.9%	13.0%	97.6%	7.3%
12X267	Bronx Latin	High School	81.9	A	90	A	B	A	A	5.0	Annette Fiorentino	240	2.60	2.86	25.4%	11.3%	12.1%	98.3%	12.9%
12X271	East Bronx Academy for the Future	High School	65.3	B	57	C	A	B	B	9.1	Sarah Scrogin	387	2.55	2.56	27.1%	13.7%	11.4%	96.6%	10.6%
12X278	Peace and Diversity Academy	High School	51.1	C	17	B	C	B	D	2.0	Andrew Turay	220	2.46	2.33	25.5%	13.2%	19.5%	98.2%	16.4%
12X372	Urban Assembly School for Wildlife Conservation	High School									Mark Ossenheimer	251	2.59	2.71	23.9%	5.2%	7.2%	90.8%	10.0%
12X388	Pan American International High School at Monroe	High School	85.4	A	94	A	B	B	C	8.6	Bridgit Claire Bye	404	2.01	2.34	1.0%	1.2%	39.9%	99.8%	95.8%
12X478	THE CINEMA SCHOOL	High School	81.4	A	89	A	A	B	B	2.4	Rex Bobbish	304	2.88	3.11	8.9%	1.6%	3.3%	94.1%	3.0%
12X479	BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL	High School	40.4	D	5	F	C	C	A	5.1	Kizhaya A. Roberts	310	2.51	2.65	27.4%	15.8%	16.8%	97.7%	11.9%
12X511	Bronx Envision Academy	High School									Emily Shu	153	2.57	2.81	28.1%	13.1%	10.5%	94.8%	11.1%
12X521	The Metropolitan Soundview High School	High School									Michael Lanaghan	206	2.56	2.76	25.7%	13.6%	11.7%	95.6%	14.6%
12X550	High School of World Cultures	High School	54.8	C	26	C	C	B	C	6.8	Ramon Namnun	392	2.12	2.51	0.5%	0.0%	37.2%	89.5%	89.0%
12X682	Fannie Lou Hamer Freedom High School	High School	60.7	B	43	C	C	B	B	10.8	Nancy Mann	493	2.52	2.60	27.8%	15.6%	8.9%	97.4%	11.2%
12X684	Wings Academy	High School	46.3	D	10	C	C	C	C	4.2	Wayne Cox	537	2.55	2.71	23.6%	12.8%	9.3%	96.6%	3.9%
12X690	Monroe Academy for Business/Law	High School									Charles Ogundimu	150	2.42	2.54	22.7%	11.3%	15.3%	95.3%	15.3%
12X692	Monroe Academy for Visual Arts & Design	High School	51.1	C	17	C	C	C	F	6.0	Richard J. Massel	472	2.40	2.57	23.3%	13.3%	15.9%	97.5%	27.5%
13K265	Dr. Susan S. McKinney Secondary School of the Arts	High School	50.2	C	15	C	C	C	B	4.0	Paula Holmes	350	2.72	2.79	14.9%	2.9%	5.4%	97.7%	0.6%
13K350	Urban Assembly High School of Music and Art	High School	49.4	C	13	C	D	C	C	4.4	Paul Thompson	433	2.62	2.71	22.6%	9.7%	11.8%	97.2%	3.0%
13K412	"Brooklyn Community High School of Communication, Arts and Media"	High School	63.1	B	51	B	C	C	B	5.4	James O'brien	469	2.63	2.65	23.0%	8.7%	11.1%	95.9%	3.8%
13K419	"Science Skills Center High School for Science, Technology and the Creative Arts"	High School	60.6	B	43	B	B	F	B	5.5	Dahlia Mcgregor	534	2.70	2.86	16.9%	7.7%	8.4%	88.2%	6.2%
13K430	Brooklyn Technical High School	High School	73.1	A	75	A	A	D	A	0.0	Randy Asher	5451	3.54	4.11	1.4%	0.0%	0.3%	17.5%	0.1%
13K439	Brooklyn International High School	High School	100.5	A	99	A	A	A	B	11.7	Pamela Taranto	351	2.06	2.97	1.4%	1.1%	22.8%	46.4%	84.9%
13K483	The Urban Assembly School for Law and Justice	High School	68.4	B	66	B	B	B	A	3.2	Shannon Curran	440	2.88	3.00	14.5%	5.7%	2.7%	96.1%	0.7%
13K499	ACORN Community High School	High School	53.3	C	23	C	B	C	C	5.0	Andrea Piper	712	2.59	2.71	21.9%	11.4%	10.7%	97.1%	3.9%
13K509	Freedom Academy High School	High School									Alyson Forde	170	2.56	2.66	26.5%	12.9%	52.9%	94.1%	4.1%
13K527	Urban Assembly Institute of Math and Science for Young Women	High School	61.4	B	46	B	C	C	A	5.6	Kiri Soares	276	2.75	2.81	12.7%	2.9%	4.0%	92.0%	1.1%
13K595	Bedford Academy High School	High School	83.0	A	91	A	A	A	A	1.0	Adofo Muhammad	371	3.08	3.37	7.8%	0.5%	1.9%	95.7%	0.3%
13K605	George Westinghouse Career and Technical Education High School	High School	49.8	C	14	C	C	B	C	3.0	Janine Kieran	817	2.66	2.78	19.2%	9.3%	7.1%	94.7%	2.1%
13K670	Benjamin Banneker Academy	High School	58.1	B	33	B	B	D	B	1.0	Yusuf Muhammad	900	3.18	3.48	3.7%	0.9%	1.2%	95.2%	0.0%
13K674	"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY"	High School									Chris Aguirre	426	2.77	3.02	19.5%	7.7%	3.8%	87.3%	2.6%
14K071	Juan Morel Campos Secondary School	High School	51.2	C	18	C	D	B	C	4.5	Eric Fraser	433	2.41	2.70	28.6%	16.4%	16.2%	97.0%	22.6%
14K322	Foundations Academy	High School	24.5	F	0	F	D	F	F	2.5	Jimmy Molina	150	2.35	2.48	36.7%	20.7%	22.7%	94.0%	6.0%
14K449	"Brooklyn Latin School, The"	High School	67.4	B	64	B	B	B	A	0.0	Jason Griffiths	509	3.42	3.96	2.2%	0.0%	1.2%	42.0%	0.2%
14K454	Green School: An Academy for Environmental Careers	High School	53.5	C	24	C	D	C	B	6.2	Cara Tait	346	2.51	2.60	22.3%	10.1%	18.5%	96.2%	12.7%
14K474	PROGRESS High School for Professional Careers	High School	51.9	C	19	C	C	B	C	5.3	William Jusino	1120	2.54	2.71	17.3%	7.9%	9.8%	98.0%	17.1%
14K477	School for Legal Studies	High School	33.3	F	3	F	D	D	B	4.4	Monica Ortiz	696	2.67	2.72	16.2%	6.9%	13.8%	97.6%	9.5%
14K478	"The High School for Enterprise, Business and Technology"	High School	76.1	A	81	B	A	A	B	6.9	Holger Carrillo	1003	2.73	3.00	15.4%	6.9%	8.5%	93.6%	11.1%
14K488	Brooklyn Preparatory High School	High School	58.5	B	34	C	B	C	C	4.1	Noah Lansner	454	2.67	2.81	20.0%	6.6%	5.1%	96.0%	3.3%
14K558	Williamsburg High School for Architecture and Design	High School	88.2	A	96	A	A	A	B	9.1	Gill Cornell	534	2.66	2.90	22.3%	7.3%	5.6%	94.6%	5.6%
14K561	Williamsburg Preparatory School	High School	76.4	A	82	A	A	A	B	3.8	Michael Shadrick	636	2.81	3.04	15.1%	6.0%	2.8%	86.3%	3.0%
14K586	Lyons Community School	High School	56.5	C	29	C	B	B	D	5.2	Taeko Onishi	310	2.53	2.53	22.9%	6.1%	15.2%	96.5%	13.2%
14K610	Automotive High School	High School	38.4	F	4	F	C	D	B	7.9	Caterina Lafergola	620	2.50	2.60	33.2%	14.8%	15.3%	94.8%	5.5%
14K614	Young Women's Leadership School of Brooklyn	High School									Talana Bradley	142	2.84	3.01	12.7%	1.4%	2.8%	93.0%	2.8%
14K632	Frances Perkins Academy	High School	66.5	B	61	A	D	B	C	6.8	Jocelyn Santana	144	2.43	2.52	31.3%	18.8%	17.4%	97.2%	10.4%
14K685	El Puente Academy for Peace and Justice	High School	85.4	A	94	A	A	A	C	12.4	Wanda Vazquez	219	2.53	2.68	23.3%	11.4%	9.1%	96.8%	18.7%
15K429	Brooklyn School for Global Studies	High School	60.7	B	43	B	B	D	C	4.5	Joseph O'brien	222	2.63	2.69	29.3%	7.7%	8.6%	90.1%	8.1%
15K448	Brooklyn Secondary School for Collaborative Studies	High School	72.0	A	73	C	A	B	A	11.6	Alyce Barr	361	2.76	2.76	28.5%	5.3%	5.0%	82.8%	3.9%
15K462	Secondary School for Law	High School	48.3	C	13	C	B	D	C	3.8	Oneatha Swinton	418	2.78	2.92	14.4%	4.8%	6.7%	92.1%	4.5%
15K463	Secondary School for Journalism	High School	55.5	C	27	B	C	F	B	5.6	Jodi Radwell	282	2.63	2.73	19.5%	10.3%	8.2%	83.7%	13.1%
15K464	Park Slope Collegiate	High School	44.0	D	8	D	F	C	B	5.4	Jill Bloomberg	294	2.59	2.74	19.0%	12.6%	7.5%	83.0%	11.6%
15K497	School for International Studies	High School	52.1	C	20	B	D	D	B	4.3	Jillian Juman	318	2.67	2.84	14.5%	7.5%	8.2%	79.2%	17.0%
15K519	Cobble Hill School of American Studies	High School	60.8	B	44	B	B	A	C	5.0	Annamaria Mule	619	2.57	2.62	20.8%	11.3%	12.3%	92.4%	7.3%
15K530	Metropolitan Corporate Academy High School	High School									Lennel George	94	2.41	2.28	24.5%	17.0%	11.7%	96.8%	2.1%
15K592	Khalil Gibran International Academy	High School									Winston Hamann	50	2.56	2.69	26.0%	12.0%	18.0%	78.0%	18.0%
15K656	Brooklyn High School of the Arts	High School	58.0	B	32	B	B	C	C	1.5	Margaret Lacey Berman	768	2.90	3.05	11.2%	3.4%	3.3%	92.6%	0.7%
15K667	SUNSET PARK HIGH SCHOOL	High School	64.9	B	56	B	C	A	D	5.0	Corinne Vinal	1290	2.61	2.74	22.5%	6.8%	5.1%	87.8%	16.9%
15K684	Millennium Brooklyn HS	High School									Dr. Lisa Gioe	224	3.24	3.64	9.8%	0.9%	1.3%	50.4%	0.0%
16K393	Frederick Douglass Academy IV Secondary School	High School	58.1	B	33	C	B	B	D	5.9	Elvin Crespo	179	2.53	2.53	27.9%	10.1%	13.4%	98.3%	2.8%
16K455	Boys and Girls High School	High School	35.8	F	4	D	F	B	F	3.4	Bernard Gassaway	1199	2.52	2.55	21.9%	13.5%	15.8%	97.7%	2.8%
16K498	Brooklyn High School for Law and Technology	High School	60.2	B	40	C	C	A	C	5.9	Michael Prayor	460	2.61	2.72	22.0%	12.6%	10.2%	98.3%	4.8%
16K594	Gotham Professional Arts Academy	High School	63.8	B	53	B	C	B	C	4.6	Alexander White	268	2.62	2.64	23.5%	9.3%	12.7%	98.1%	1.1%
16K688	The Brooklyn Academy of Global Finance	High School	28.3	F	1	F	C	C	F	2.7	Dannielle Darbee	176	2.53	2.63	25.6%	17.0%	14.2%	94.9%	8.0%
17K122	Pathways in Technology Early College High School (P-Tech)	High School									Rashid Davis	226	2.75	3.01	18.1%	8.4%	4.4%	95.6%	1.3%
17K382	Academy for College Preparation and Career Exploration: A College Board School	High School	63.8	B	53	B	C	C	B	5.2	Doris Unger	396	2.62	2.76	15.7%	6.1%	17.2%	98.0%	5.6%
17K408	Academy of Hospitality and Tourism	High School	52.2	C	21	C	C	B	C	4.5	Adam Breier	307	2.56	2.54	17.9%	9.4%	20.5%	97.1%	16.9%
17K524	International High School at Prospect Heights	High School	61.0	B	45	B	C	B	C	6.9	Nedda De Castro	421	1.97	2.59	4.3%	1.9%	25.4%	63.7%	94.1%
17K528	The High School for Global Citizenship	High School	47.0	C	11	C	C	B	C	3.8	Michelle Rochon	291	2.52	2.59	18.9%	10.7%	18.6%	96.9%	10.7%
17K531	"School for Human Rights, The"	High School	69.8	B	67	B	B	A	C	6.2	Michael Alexander	261	2.66	2.80	14.9%	4.6%	12.3%	98.1%	6.1%
17K533	School for Democracy and  Leadership	High School	59.8	B	39	B	C	C	B	6.0	James Olearchik	275	2.51	2.60	26.9%	10.5%	18.2%	98.2%	4.0%
17K537	High School for Youth and Community Development at Erasmus	High School	66.9	B	63	B	B	A	C	6.5	Mary Prendergast	382	2.50	2.53	22.8%	11.3%	21.5%	96.1%	10.5%
17K539	High School for Service & Learning at Erasmus	High School	82.1	A	91	A	A	A	C	9.7	Peter Fabianski	409	2.53	2.63	21.0%	8.6%	18.3%	94.1%	9.0%
17K543	"Science, Technology and Research Early College High School at Erasmus"	High School	73.3	A	75	A	B	A	A	1.4	Dr. Eric L. Blake	313	3.06	3.39	4.5%	0.3%	0.6%	94.2%	0.0%
17K544	International Arts Business School	High School									Angelo Marra	205	2.55	2.71	19.5%	6.3%	12.2%	96.1%	7.8%
17K546	High School for Public Service: Heroes  of Tomorrow	High School	79.3	A	87	A	A	A	A	3.5	Sean Rice	434	2.95	3.26	8.3%	3.5%	3.5%	95.6%	1.2%
17K547	Brooklyn Academy of Science and the Environment	High School	60.7	B	43	B	C	B	C	4.5	Veronica Peterson	490	2.64	2.86	14.9%	6.5%	7.6%	93.5%	7.8%
17K548	Brooklyn School for Music & Theatre	High School	52.6	C	22	B	C	C	D	2.7	Pamela Randazzo-Dorcely	393	2.66	2.71	14.5%	3.3%	4.8%	96.7%	0.3%
17K590	Medgar Evers College Preparatory School	High School	65.8	B	59	B	A	B	B	0.6	Dr. Michael A. Wiltshire	936	3.17	3.59	3.0%	0.2%	1.4%	97.0%	0.1%
17K600	Clara Barton High School	High School	61.2	B	46	B	C	B	B	2.6	Dr. Richard A. Forman	1609	2.75	2.94	14.0%	8.8%	5.4%	96.8%	9.9%
17K625	Paul Robeson High School	High School									Ronald Williams Wells	163	2.38	2.35	33.1%	16.6%	15.3%	96.9%	4.9%
17K745	Brooklyn Institute for Liberal Arts	High School									Ann-Marie Henry-Stephens	92	2.66	2.80	16.3%	8.7%	7.6%	95.7%	6.5%
17K751	ACADEMY FOR HEALTH CAREERS	High School									Deonne Martin	232	2.63	2.84	16.4%	11.2%	12.9%	95.7%	4.7%
18K563	It Takes a Village Academy	High School	105.9	A	100	A	A	A	A	12.8	Marina Vinitskaya	417	2.58	2.75	17.3%	7.4%	27.3%	98.8%	25.9%
18K566	Brooklyn Generation School	High School	59.9	B	39	B	C	B	C	4.4	Lydia Colon Bomani	298	2.52	2.60	24.5%	8.1%	20.8%	97.0%	6.4%
18K567	Brooklyn Theatre Arts High School	High School	47.7	C	12	D	B	C	C	3.9	David H. Ward	377	2.58	2.62	25.5%	10.6%	8.8%	98.1%	5.8%
18K569	Kurt Hahn Expeditionary Learning School	High School	77.8	A	85	B	B	A	B	8.2	Matt Brown	276	2.58	2.65	25.7%	6.5%	19.9%	94.9%	7.2%
18K576	Victory Collegiate High School	High School	68.9	B	66	B	A	A	B	5.2	Marcel D. Deans	322	2.64	2.76	19.6%	6.5%	13.4%	99.1%	3.1%
18K589	Arts & Media Preparatory Academy	High School	47.5	C	12	D	C	B	B	6.0	Robert Hall	276	2.62	2.64	17.8%	7.6%	9.4%	98.6%	4.7%
18K617	High School for Innovation in Advertising and Media	High School	58.8	B	36	C	B	C	B	7.4	Adaleza Michelena	330	2.57	2.63	23.3%	9.1%	12.1%	95.2%	9.1%
18K629	Cultural Academy for the Arts and Sciences	High School	62.4	B	49	C	B	B	B	7.8	Diane Varano	305	2.49	2.56	23.6%	14.1%	13.1%	99.0%	4.9%
18K633	High School for Medical Professions	High School	74.4	A	78	A	A	B	C	3.9	Joseph Scarmato	464	2.82	2.96	13.6%	6.0%	3.7%	97.0%	2.2%
18K637	Academy for Conservation and the Environment	High School	50.4	C	16	C	C	B	D	4.0	Eugene Mazzola	285	2.58	2.64	20.0%	9.8%	15.1%	96.1%	6.0%
18K642	Urban Action Academy	High School	56.4	C	29	C	B	C	D	5.6	Abe Correa	302	2.51	2.63	20.5%	12.3%	14.9%	93.0%	10.6%
19K404	Academy for Young Writers	High School	58.3	B	33	C	B	B	C	4.3	Courtney Winkfield	389	2.78	2.72	13.9%	7.2%	6.9%	94.9%	2.1%
19K409	East New York Family Academy	High School	51.2	C	18	C	B	C	C	0.9	Sheila Richards	277	2.88	3.31	7.2%	1.8%	1.4%	97.8%	0.4%
19K502	FDNY High School for Fire and Life Safety	High School	58.7	B	36	B	C	B	F	5.2	James Anderson	347	2.51	2.60	26.5%	11.5%	15.3%	96.8%	3.2%
19K504	High School for Civil Rights	High School	51.2	C	18	D	B	B	F	5.9	Michael S. Steele	364	2.47	2.52	21.4%	11.8%	23.4%	97.0%	7.4%
19K507	Performing Arts and Technology High School	High School	56.1	C	28	C	B	B	D	4.4	Reginald Richardson	429	2.60	2.66	20.0%	10.3%	10.0%	98.4%	5.1%
19K510	World Academy for Total Community Health High School	High School	57.3	C	30	B	B	F	B	5.9	Kim Wanliss	357	2.56	2.61	21.3%	8.7%	17.6%	96.1%	3.6%
19K583	Multicultural High School	High School	37.9	F	4	D	F	D	F	5.0	Alexandra Hernandez	378	2.02	2.42	1.9%	0.8%	31.0%	100.0%	94.4%
19K615	Transit Tech Career and Technical Education High School	High School	51.3	C	19	D	B	C	B	4.5	Neil S. Harris	1227	2.60	2.81	20.2%	10.1%	6.6%	92.7%	3.7%
19K618	Academy of Innovative Technology	High School	66.0	B	60	A	D	B	B	5.4	Cynthia Fowlkes	412	2.52	2.65	25.2%	12.9%	8.3%	89.6%	10.4%
19K639	Brooklyn Lab School	High School	45.0	D	9	C	D	D	D	4.6	Renel Piton	377	2.51	2.54	24.4%	11.1%	20.2%	93.1%	19.1%
19K659	Cypress Hills Collegiate Preparatory School	High School	44.7	D	9	C	D	C	C	5.0	Amy Yager	411	2.57	2.54	17.5%	7.1%	13.9%	91.2%	21.2%
19K660	W. H. Maxwell Career and Technical Education High School	High School	73.4	A	76	A	B	B	C	7.2	Jocelyn Badette	465	2.42	2.42	36.1%	28.4%	15.3%	96.8%	6.9%
19K683	"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS"	High School	82.1	A	91	A	A	B	A	7.7	Janice Ross	320	2.58	2.69	21.3%	14.7%	11.9%	89.1%	10.6%
20K445	New Utrecht High School	High School	71.5	A	73	B	B	C	A	7.8	Maureen Goldfarb	3289	2.66	3.01	18.5%	8.5%	10.4%	32.4%	24.7%
20K485	High School of  Telecommunication Arts and Technology	High School	77.0	A	83	B	B	A	A	6.8	Philip Weinberg	1292	2.83	3.17	24.1%	7.1%	2.4%	63.2%	5.5%
20K490	Fort Hamilton High School	High School	60.4	B	41	B	C	C	B	4.1	Kaye Houlihan	4419	2.80	3.18	14.6%	7.8%	6.1%	33.7%	21.6%
20K505	Franklin Delano Roosevelt High School	High School	64.5	B	55	B	C	B	B	8.6	Steven Demarco	3103	2.63	3.00	13.8%	7.3%	13.8%	36.7%	38.2%
20K609	Urban Assembly School for Criminal Justice	High School									Mariela Graham	230	2.77	2.97	16.1%	3.9%	8.7%	47.8%	14.3%
21K337	International High School at Lafayette	High School	60.1	B	40	B	D	B	C	8.0	Jon Harriman	357	1.97	2.89	0.8%	0.8%	25.2%	29.7%	90.2%
21K344	Rachel Carson High School for Coastal Studies	High School	61.5	B	47	B	B	C	B	4.3	Edward Wilensky	512	2.73	2.91	19.7%	6.8%	5.9%	46.1%	10.7%
21K348	High School of Sports Management	High School	62.0	B	47	C	B	C	B	8.0	Robin Pitts	347	2.57	2.74	18.7%	8.1%	8.1%	90.8%	3.7%
21K410	Abraham Lincoln High School	High School	59.8	B	39	C	C	B	B	4.3	Ari Hoogenboom	2419	2.73	3.00	15.7%	8.4%	7.8%	58.7%	14.8%
21K468	Kingsborough Early College School	High School	73.8	A	76	B	A	B	A	4.5	Connie Hamilton	314	2.92	3.39	11.5%	0.0%	0.6%	50.0%	0.6%
21K525	Edward R. Murrow High School	High School	62.2	B	49	B	B	B	B	3.6	Allen Barge	4031	2.92	3.32	17.2%	7.7%	2.7%	42.0%	8.8%
21K540	John Dewey High School	High School	65.6	B	57	B	C	C	B	5.9	Kathleen Elvin	1894	2.68	3.11	12.1%	5.5%	7.5%	46.4%	23.4%
21K559	Life Academy High School for Film and Music	High School	85.6	A	95	A	A	B	D	8.5	Lisa Ferraiola	254	2.65	2.75	19.7%	8.3%	10.2%	76.4%	4.7%
21K572	Expeditionary Learning School for Community Leaders	High School	67.8	B	65	A	C	A	C	4.5	David Ohara	251	2.66	2.97	14.3%	6.0%	11.2%	62.5%	17.1%
21K620	William E. Grady Career and Technical Education High School	High School	47.6	C	12	D	C	B	C	6.3	Geraldine Maione	780	2.54	2.66	30.3%	14.1%	11.5%	89.1%	3.8%
21K690	Brooklyn Studio Secondary School	High School	51.0	C	17	C	C	F	C	4.6	Andrea Ciliotta	639	2.84	3.10	18.9%	4.1%	3.6%	29.7%	8.5%
22K405	Midwood High School	High School	61.5	B	47	B	C	B	B	2.8	David Cohen	3893	3.13	3.55	7.3%	2.9%	1.4%	46.3%	3.8%
22K425	James Madison High School	High School	57.9	C	31	C	C	A	B	4.2	Joseph A. Gogliormella	3158	2.86	3.17	15.1%	5.8%	3.8%	33.6%	12.3%
22K495	Sheepshead Bay High School	High School									John Omahoney	1681	2.58	2.69	17.0%	9.7%	17.6%	76.0%	24.5%
