2011-12 Progress Report Results for High Schools																				
DBN	School Name	School Type	Overall Score	Overall Grade	Percentile Rank	Progress Grade	Performance Grade	Environment Grade	College and Career Readiness Grade	Closing the Achievement Gap Points	Principal	Enrollment	% Students with Disabilites	% Students in Self-contained Settings	% Overage	% Free Lunch	% Black or Hispanic	% ELL	8th Gr Math/ELA	Peer Index
09X517	Frederick Douglass Academy III Secondary School	High School	63.5	B	45	C	A	C	C	5.4	Rahesha Amon	387	16.8%	9.0%	12.1%	85.2%	97.7%	6.5%	2.52	1.88
09X525	Bronx Leadership Academy High School	High School	62.6	B	43	C	B	B	A	4.5	"Kenneth Gaskins,jr."	705	23.7%	13.6%	10.8%	82.7%	98.0%	9.6%	2.59	1.73
09X543	High School for Violin and Dance	High School	64.4	B	48	D	A	D	A	8.6	Franklin Sim	323	23.8%	10.2%	12.4%	83.3%	99.7%	8.7%	2.53	1.73
10X141	Riverdale / Kingsbridge Academy (Middle School / High School 141)	High School	69.2	B	65	B	A	D	A	3.8	Lori O'mara	630	18.4%	5.7%	2.7%	42.7%	68.4%	4.0%	2.89	2.38
10X213	Bronx Engineering and Technology Academy	High School	66.6	B	56	C	A	C	A	8.6	Karalyne Sperling	444	25.5%	9.5%	10.6%	78.8%	93.9%	16.4%	2.54	1.73
10X225	Theatre Arts Production Company School	High School	63.0	B	44	C	A	D	B	2.9	Lynn Passarella	303	17.2%	1.3%	3.6%	58.4%	97.4%	1.3%	2.79	2.38
10X237	"The Marie Curie School for Medicine, Nursing, and Health Professions"	High School	55.8	C	24	C	A	D	C	2.7	Rodney Fisher	540	18.0%	7.6%	7.2%	52.0%	93.1%	6.7%	2.75	2.17
10X243	West Bronx Academy for the Future	High School	56.2	C	25	C	C	D	C	5.7	Wilper Morales	370	20.0%	8.1%	9.5%	85.8%	93.5%	14.3%	2.50	1.85
10X268	Kingsbridge International High School	High School	60.0	B	37	B	F	A	D	4.6	Ronald Newlon	497	1.4%	0.8%	28.8%	90.3%	90.1%	94.2%	2.17	1.84
10X284	Bronx School of Law and Finance	High School	59.6	B	35	B	B	C	D	4.0	Evan Schwartz	422	20.1%	9.5%	11.1%	78.9%	96.7%	7.1%	2.67	1.97
10X342	International School for Liberal Arts	High School	70.3	A	66	B	C	A	C	7.4	Migdalia Carrillo	416	2.6%	1.7%	10.6%	89.3%	99.8%	80.5%	2.36	2.17
10X368	In-Tech Academy (M.S. / High School 368)	High School	57.9	C	29	C	B	C	C	3.3	Yvette Allen	555	14.6%	3.2%	3.1%	78.5%	93.2%	7.9%	2.86	2.47
10X374	Knowledge and Power Preparatory Academy International High School (Kappa)	High School	63.2	B	44	B	B	B	B	3.4	Panorea Panagiosoulis	324	13.3%	3.7%	8.3%	84.9%	96.0%	9.6%	2.78	2.36
10X397	English Language Learners and International Support Preparatory Academy (ELLIS)	High School	49.8	C	14	F	F	B	C	10.1	Norma Vega	316	0.3%	0.3%	94.9%	85.8%	90.2%	88.0%	2.03	1.39
10X433	High School for Teaching and the Professions	High School	64.8	B	48	B	C	B	C	4.6	Gary Prince	473	22.8%	13.7%	14.0%	84.4%	95.6%	18.0%	2.52	1.65
10X434	Belmont Preparatory High School	High School	64.0	B	46	B	B	C	B	5.6	Stephen Joseph Gumbs	407	17.7%	11.8%	9.3%	83.3%	94.6%	11.3%	2.56	1.87
10X437	Fordham High School for the Arts	High School	73.9	A	76	B	A	A	C	6.3	Iris Blige	387	24.8%	14.0%	8.3%	80.6%	97.2%	12.4%	2.59	1.74
10X438	Fordham Leadership Academy for Business and Technology	High School	39.6	F	3	F	D	F	C	3.7	Mary Ann Tucker	451	22.4%	14.9%	13.5%	82.7%	95.6%	16.6%	2.48	1.60
10X439	Bronx High School for Law and Community Service	High School	51.5	C	16	D	C	C	C	5.7	Michael Barakat	432	23.6%	13.2%	13.4%	76.6%	95.6%	13.9%	2.52	1.65
10X440	DeWitt Clinton High School	High School	37.2	F	2	F	F	F	B	2.8	Geraldine Ambrosio	4159	18.5%	11.0%	10.7%	72.2%	90.4%	20.2%	2.63	1.94
10X442	"Celia Cruz Bronx High School of Music, The"	High School	65.1	B	49	B	B	C	B	4.9	"William Rodriguez, Ed.D."	423	10.6%	1.2%	3.5%	72.3%	96.7%	3.5%	2.93	2.66
10X445	Bronx High School of Science	High School	81.0	A	92	A	A	B	A	0.0	Valerie Reidy	3013	1.5%	0.0%	0.3%	33.2%	10.7%	0.1%	3.93	3.89
10X475	John F. Kennedy High School	High School	.	.	.	.	.	.	.	.	Lisa Luft	706	23.8%	13.6%	16.9%	84.3%	97.9%	24.2%	2.40	1.49
10X477	Marble Hill High School for International Studies	High School	90.9	A	98	A	A	A	A	6.9	Kirsten Larson	456	8.1%	0.9%	10.7%	78.1%	80.9%	32.2%	2.85	2.56
10X524	Crotona International High School	High School	.	.	.	.	.	.	.	.	Jesseca Long	85	0.0%	1.2%	23.5%	88.2%	92.9%	90.6%	2.21	1.95
10X546	Bronx Theatre High School	High School	68.6	B	62	B	B	A	D	4.7	Charles Gallo	445	17.5%	7.0%	6.7%	79.1%	97.8%	9.7%	2.60	2.05
10X549	Discovery High School	High School	76.6	A	83	A	B	A	A	5.2	Rolando Rivera	529	23.1%	12.9%	12.1%	78.4%	96.0%	21.4%	2.51	1.67
10X660	Grace Dodge Career and Technical Education High School	High School	.	.	.	.	.	.	.	.	John Tornifolio	1162	26.2%	16.5%	14.6%	61.9%	97.2%	19.4%	2.45	1.44
10X696	High School of American Studies at Lehman College	High School	88.9	A	96	A	A	A	A	0.1	Mr. Alessandro Weiss	377	4.5%	0.3%	0.3%	24.1%	28.9%	0.0%	3.85	3.75
11X253	Bronx High School for Writing and Communication Arts	High School	52.8	C	18	D	C	C	C	4.0	Terri Lynn Grey	422	22.5%	10.7%	12.8%	51.7%	96.0%	8.8%	2.52	1.73
11X265	Bronx Lab School	High School	59.3	B	34	B	C	B	D	2.8	Christophe Lagares	482	18.0%	8.1%	7.3%	57.5%	95.2%	4.1%	2.71	2.11
11X270	Academy for Scholarship and Entrepreneurship: A College Board School	High School	59.9	B	36	B	B	D	C	3.9	Zenobia White	367	22.3%	9.0%	10.4%	67.7%	96.2%	5.2%	2.50	1.77
11X275	High School of Computers and Technology	High School	90.6	A	98	A	A	A	A	9.2	Bruce Abramowitz	550	22.2%	8.7%	7.6%	51.6%	94.5%	10.5%	2.62	1.92
11X288	Collegiate Institute for Math and Science	High School	69.7	B	65	B	A	A	A	1.9	Shadia Alvarez	543	16.0%	7.2%	4.6%	73.3%	83.6%	3.3%	3.06	2.55
11X290	Bronx Academy of Health Careers	High School	74.6	A	77	B	B	A	A	6.2	Marvia Lindsay	483	21.3%	9.9%	11.8%	52.6%	94.8%	7.9%	2.54	1.79
11X299	Astor Collegiate Academy	High School	58.3	B	31	C	B	C	C	4.4	Sandra Burgos	497	24.1%	10.9%	7.6%	71.8%	81.7%	8.0%	2.64	1.87
11X415	Christopher Columbus High School	High School	.	.	.	.	.	.	.	.	Lisa Fuentes	727	27.9%	19.3%	15.8%	67.1%	81.4%	19.1%	2.34	1.24
11X418	Bronx High School for the Visual Arts	High School	52.8	C	18	F	B	B	A	3.4	G Jones	483	26.1%	10.4%	8.3%	62.7%	91.7%	5.2%	2.61	1.80
11X455	Harry S Truman High School	High School	71.0	A	69	B	A	C	A	7.5	Sana Nasser	1773	30.6%	19.2%	12.6%	55.5%	95.7%	10.0%	2.46	1.33
11X508	Bronxdale High School	High School	.	.	.	.	.	.	.	.	John Chase Jr	95	27.4%	8.4%	7.4%	77.9%	82.1%	7.4%	2.83	2.04
11X509	High School for Language and Innovation	High School	.	.	.	.	.	.	.	.	Julie Nariman	76	2.6%	0.0%	21.1%	93.4%	76.3%	82.9%	2.34	2.08
11X513	New World High School	High School	85.1	A	95	A	A	A	A	9.0	Fausto Salazar	402	1.5%	0.7%	27.4%	93.8%	83.6%	82.1%	2.48	2.16
11X514	The Bronxwood Preparatory Academy	High School	55.0	C	23	C	F	B	F	3.8	Janet Gallardo	416	23.8%	14.2%	10.3%	71.4%	95.7%	7.0%	2.43	1.57
11X541	Global Enterprise High School	High School	.	.	.	.	.	.	.	.	Sandra Maldonado	270	20.0%	13.3%	13.7%	75.6%	90.0%	15.6%	2.47	1.66
11X542	Pelham Preparatory Academy	High School	68.9	B	63	C	A	B	A	4.1	Carlos Santiago	507	16.0%	8.3%	4.9%	61.1%	89.9%	2.2%	2.86	2.32
11X544	High School for Contemporary Arts	High School	69.7	B	65	B	A	B	C	5.8	Francisco Sanchez	479	24.0%	11.1%	14.4%	55.1%	97.1%	10.4%	2.53	1.68
11X545	Bronx Aerospace High School	High School	78.0	A	86	B	A	C	A	8.6	Barbara Kirkweg	416	31.7%	14.9%	9.9%	53.1%	96.4%	14.9%	2.58	1.55
12X242	Mott Hall V	High School	.	.	.	.	.	.	.	.	Peter Oroszlany	172	22.1%	5.8%	8.7%	82.4%	92.4%	8.1%	2.89	2.25
12X245	New Day Academy	High School	.	.	.	.	.	.	.	.	Mara Ganeles	121	24.0%	8.3%	10.7%	82.7%	98.3%	11.6%	2.29	1.53
12X248	"Metropolitan High School, The"	High School	87.5	A	96	A	A	A	C	8.9	Carla Theodorou	339	23.9%	13.9%	13.9%	86.7%	97.1%	21.8%	2.51	1.62
12X251	Explorations Academy	High School	70.6	A	67	B	B	B	B	8.2	Susana Hernandez	362	25.1%	14.9%	14.6%	62.4%	96.4%	19.9%	2.42	1.47
12X262	Performance Conservatory High School	High School	.	.	.	.	.	.	.	.	Eulynis Matthias Fridie	260	31.5%	18.1%	16.2%	61.2%	96.9%	10.4%	2.34	1.19
12X267	Bronx Latin	High School	84.4	A	94	A	A	A	A	5.1	Leticia Pineiro	240	23.8%	9.6%	11.7%	88.3%	98.3%	14.2%	2.69	1.91
12X271	East Bronx Academy for the Future	High School	67.5	B	59	C	A	B	D	7.8	Sarah Scrogin	367	24.0%	10.6%	11.2%	81.3%	97.8%	10.9%	2.48	1.68
12X278	Peace and Diversity Academy	High School	44.2	D	6	F	F	B	D	2.3	Andrew Turay	231	21.6%	9.5%	19.5%	79.7%	97.4%	15.2%	2.33	1.51
12X372	Urban Assembly School for Wildlife Conservation	High School	.	.	.	.	.	.	.	.	Mark Ossenheimer	179	21.8%	6.7%	8.4%	68.6%	89.9%	8.9%	2.61	1.95
12X388	Pan American International High School at Monroe	High School	79.0	A	87	A	C	B	C	7.7	Bridgit Claire Bye	406	0.5%	0.5%	42.1%	96.3%	100.0%	96.8%	2.16	1.72
12X478	THE CINEMA SCHOOL	High School	.	.	.	.	.	.	.	.	Rex Bobbish	223	7.6%	0.9%	3.6%	72.6%	93.7%	4.0%	3.00	2.79
12X479	BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL	High School	.	.	.	.	.	.	.	.	Kizhaya Roberts	244	29.9%	19.3%	20.1%	83.2%	97.1%	16.8%	2.55	1.37
12X511	Bronx Envision Academy	High School	.	.	.	.	.	.	.	.	Emily Shu	71	25.4%	11.3%	15.5%	73.2%	93.0%	11.3%	2.63	1.74
12X521	The Metropolitan Soundview High School	High School	.	.	.	.	.	.	.	.	Michael Lanaghan	96	21.9%	12.5%	10.4%	82.3%	95.8%	16.7%	2.60	1.81
12X550	High School of World Cultures	High School	59.2	B	33	D	B	B	D	7.9	Ramon Namnun	369	0.8%	0.0%	34.1%	93.5%	95.4%	86.4%	2.35	1.99
12X682	Fannie Lou Hamer Freedom High School	High School	64.4	B	48	C	A	A	D	6.8	Nancy Mann	477	28.1%	14.3%	8.8%	64.4%	99.6%	11.5%	2.48	1.55
12X684	Wings Academy	High School	52.7	C	18	D	C	C	C	4.5	Wayne Cox	538	24.5%	13.9%	8.4%	75.5%	97.2%	4.6%	2.56	1.71
12X690	Monroe Academy for Business/Law	High School	.	.	.	.	.	.	.	.	Charles Ogundimu	249	23.3%	13.7%	14.5%	85.1%	96.0%	15.3%	2.42	1.54
12X692	Monroe Academy for Visual Arts & Design	High School	57.1	C	28	B	D	D	F	5.6	Richard J. Massel	466	23.8%	12.2%	15.2%	91.8%	97.9%	32.0%	2.40	1.53
13K265	Dr. Susan S. McKinney Secondary School of the Arts	High School	61.7	B	41	C	A	D	C	5.0	Paula Holmes	265	15.5%	1.9%	6.0%	75.2%	98.5%	2.6%	2.71	2.30
13K336	Academy of Business and Community Development	High School	.	.	.	.	.	.	.	.	Simone A. Mcintosh	106	34.0%	17.9%	61.3%	77.3%	95.3%	4.7%	2.41	0.76
13K350	Urban Assembly High School of Music and Art	High School	58.6	B	31	C	B	C	C	4.6	Paul Thompson	431	25.3%	10.9%	14.4%	77.3%	96.5%	4.6%	2.57	1.70
13K412	"Brooklyn Community High School of Communication, Arts and Media"	High School	58.1	B	29	B	C	C	D	5.0	James O'brien	462	20.3%	7.8%	9.3%	67.1%	96.3%	2.8%	2.59	1.93
13K419	"Science Skills Center High School for Science, Technology and the Creative Arts"	High School	66.4	B	54	B	B	C	A	3.3	Judy Henry	517	17.2%	8.1%	9.9%	64.6%	89.0%	7.2%	2.71	2.11
13K430	Brooklyn Technical High School	High School	68.1	B	61	B	A	F	A	0.1	Randy Asher	5332	1.2%	0.0%	0.2%	61.0%	18.1%	0.1%	3.84	3.82
13K439	Brooklyn International High School	High School	93.3	A	99	A	A	A	C	8.5	Pamela Taranto	367	0.5%	0.3%	22.6%	48.2%	48.8%	84.2%	2.57	2.33
13K483	The Urban Assembly School for Law and Justice	High School	76.4	A	82	A	A	A	A	3.3	Shannon Curran	450	15.8%	7.3%	1.8%	62.4%	97.6%	0.9%	2.91	2.43
13K499	ACORN Community High School	High School	64.2	B	47	C	A	C	D	5.3	Andrea Piper	731	21.1%	11.1%	10.3%	77.7%	97.0%	3.0%	2.58	1.83
13K509	Freedom Academy High School	High School	37.9	F	2	F	C	F	B	3.1	Alyson Forde	218	24.3%	9.6%	15.6%	72.9%	97.2%	1.8%	2.53	1.69
13K527	Urban Assembly Institute of Math and Science for Young Women	High School	.	.	.	.	.	.	.	.	Kiri Soares	223	12.1%	3.6%	4.9%	65.7%	90.6%	2.2%	2.76	2.40
13K595	Bedford Academy High School	High School	81.9	A	92	A	A	A	B	2.6	Adofo Muhammad	367	6.0%	0.3%	2.5%	49.9%	96.5%	1.1%	3.16	3.01
13K605	George Westinghouse Career and Technical Education High School	High School	49.9	C	14	C	D	F	C	4.0	Janine Kieran	927	18.8%	10.4%	6.5%	71.8%	95.4%	1.9%	2.64	1.99
13K670	Benjamin Banneker Academy	High School	59.6	B	36	B	B	D	B	0.4	Deonca Renee	895	4.1%	1.1%	1.9%	47.6%	95.9%	0.0%	3.32	3.19
13K674	"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY"	High School	.	.	.	.	.	.	.	.	Chris Aguirre	335	19.4%	8.7%	3.9%	65.7%	87.2%	3.6%	2.84	2.24
14K071	Juan Morel Campos Secondary School	High School	52.7	C	18	C	F	D	D	5.3	Howard Fineman	443	26.9%	15.6%	14.0%	63.1%	97.1%	24.6%	2.50	1.51
14K322	Foundations Academy	High School	38.3	F	3	F	F	F	C	5.3	Jimmy Molina	141	37.6%	23.4%	22.0%	76.6%	96.5%	6.4%	2.34	0.90
14K449	"Brooklyn Latin School, The"	High School	69.8	B	65	B	A	A	A	0.0	Jason Griffiths	468	2.4%	0.0%	0.4%	54.1%	46.4%	0.4%	3.68	3.63
14K454	Green School: An Academy for Environmental Careers	High School	61.6	B	41	C	B	D	B	8.3	Cara Tait	392	19.4%	9.4%	15.1%	78.3%	94.6%	12.0%	2.55	1.82
14K474	PROGRESS High School for Professional Careers	High School	62.5	B	42	C	B	B	D	4.5	William Jusino	1068	15.7%	6.9%	9.1%	80.0%	97.8%	16.3%	2.59	2.05
14K477	School for Legal Studies	High School	47.3	C	9	F	C	C	A	4.8	Monica Ortiz	759	16.2%	6.6%	9.5%	79.6%	97.0%	6.1%	2.67	2.12
14K478	"The High School for Enterprise, Business and Technology"	High School	68.2	B	61	B	A	C	B	5.0	Holger Carrillo	976	15.1%	7.3%	8.3%	71.3%	94.8%	9.9%	2.81	2.28
14K488	Brooklyn Preparatory High School	High School	70.7	A	67	B	A	B	C	5.2	Noah Lansner	400	19.5%	5.5%	5.3%	73.0%	96.5%	3.0%	2.69	2.13
14K558	Williamsburg High School for Architecture and Design	High School	93.4	A	99	A	A	A	B	7.3	Gill Cornell	500	19.2%	5.4%	8.2%	72.6%	95.8%	7.0%	2.71	2.14
14K561	Williamsburg Preparatory School	High School	82.7	A	94	A	A	A	B	5.6	Michael Shadrick	577	15.3%	6.1%	5.2%	48.0%	87.0%	2.8%	2.83	2.35
14K586	Lyons Community School	High School	65.8	B	52	B	B	A	F	5.0	Taeko Onishi	316	21.5%	9.2%	17.4%	83.1%	95.9%	15.2%	2.46	1.68
14K610	Automotive High School	High School	53.7	C	20	F	A	F	B	8.6	Caterina Lafergola	719	32.7%	15.0%	16.3%	67.6%	96.5%	4.7%	2.49	1.38
14K614	Young Women's Leadership School of Brooklyn	High School	.	.	.	.	.	.	.	.	Talana Bradley	70	15.7%	4.3%	4.3%	72.4%	92.9%	0.0%	2.96	2.52
14K632	Frances Perkins Academy	High School	81.0	A	92	A	B	B	D	10.0	"Santana, Jocelyn"	172	28.5%	15.1%	15.1%	93.6%	95.3%	9.9%	2.46	1.44
14K685	El Puente Academy for Peace and Justice	High School	81.8	A	92	A	A	A	F	6.8	Wanda Vazquez	218	24.8%	12.4%	9.6%	72.0%	97.7%	17.0%	2.47	1.63
15K429	Brooklyn School for Global Studies	High School	58.1	B	30	C	B	D	D	4.5	Joseph O'brien	257	27.2%	9.3%	9.3%	75.4%	93.4%	4.3%	2.58	1.75
15K448	Brooklyn Secondary School for Collaborative Studies	High School	70.7	A	68	C	A	C	B	9.0	Alyce Barr	365	27.4%	2.5%	4.7%	63.4%	83.0%	3.8%	2.69	2.05
15K462	Secondary School for Law	High School	54.6	C	22	C	C	C	C	3.3	Oneatha Swinton	428	13.8%	6.1%	7.9%	77.4%	91.8%	5.1%	2.80	2.32
15K463	Secondary School for Journalism	High School	51.1	C	15	C	C	C	D	2.1	Abbie Reif	296	16.6%	8.4%	9.8%	77.1%	85.5%	15.5%	2.68	2.08
15K464	Park Slope Collegiate	High School	48.4	C	12	F	C	C	A	3.6	Jill Bloomberg	301	16.6%	11.0%	5.6%	77.7%	83.7%	10.6%	2.63	2.02
15K497	School for International Studies	High School	60.3	B	39	C	B	B	B	3.0	Fred Walsh	332	14.2%	7.2%	9.3%	72.8%	79.8%	13.6%	2.70	2.18
15K519	Cobble Hill School of American Studies	High School	60.2	B	39	C	B	C	C	5.1	Annamaria Mule	663	21.7%	12.4%	14.2%	79.5%	92.5%	8.0%	2.52	1.70
15K530	Metropolitan Corporate Academy High School	High School	.	.	.	.	.	.	.	.	Lennel George	186	22.0%	11.3%	17.7%	46.2%	97.3%	1.6%	2.34	1.49
15K656	Brooklyn High School of the Arts	High School	54.3	C	22	C	B	F	C	2.3	Margaret Lacey Berman	678	9.4%	2.4%	2.8%	61.1%	95.6%	0.1%	2.91	2.65
15K667	SUNSET PARK HIGH SCHOOL	High School	.	.	.	.	.	.	.	.	Corinne Vinal	988	24.0%	7.9%	4.6%	77.0%	88.7%	14.6%	2.66	1.97
15K684	Millennium Brooklyn HS	High School	.	.	.	.	.	.	.	.	Lisa Gioe	107	10.3%	0.9%	0.9%	35.5%	47.7%	0.0%	3.40	3.17
16K393	Frederick Douglass Academy IV Secondary School	High School	42.3	D	4	D	C	F	F	2.5	Elvin Crespo	266	20.3%	8.6%	8.3%	70.4%	97.7%	0.8%	2.53	1.86
16K455	Boys and Girls High School	High School	33.4	F	1	F	F	D	F	3.0	Bernard Gassaway	1631	24.2%	15.2%	17.0%	66.5%	98.1%	2.7%	2.40	1.44
16K498	Brooklyn High School for Law and Technology	High School	72.1	A	72	B	B	A	C	7.5	Michael Prayor	405	22.7%	14.1%	10.9%	55.1%	98.0%	4.7%	2.54	1.69
16K594	Gotham Professional Arts Academy	High School	66.3	B	55	B	C	B	C	6.5	Alexander White	294	20.1%	9.2%	11.9%	75.5%	97.6%	2.4%	2.57	1.87
16K688	The Brooklyn Academy of Global Finance	High School	.	.	.	.	.	.	.	.	Kavita Gupta	159	23.3%	15.7%	16.4%	61.0%	95.6%	6.3%	2.56	1.62
17K122	Pathways in Technology Early College High School (P-Tech)	High School	.	.	.	.	.	.	.	.	Rashid Davis	104	18.3%	6.7%	3.8%	66.3%	92.3%	1.9%	2.93	2.39
17K382	Academy for College Preparation and Career Exploration: A College Board School	High School	66.4	B	55	B	A	D	B	5.3	Doris Unger	386	15.0%	6.2%	11.7%	64.1%	98.7%	5.2%	2.63	2.09
17K408	Academy of Hospitality and Tourism	High School	57.0	C	27	D	B	F	A	7.7	Adam Breier	319	17.2%	8.8%	22.6%	76.8%	97.2%	12.9%	2.47	1.72
17K524	International High School at Prospect Heights	High School	76.3	A	82	A	F	A	D	8.7	Nedda De Castro	401	3.0%	0.5%	20.7%	39.4%	57.1%	93.3%	2.32	2.04
17K528	The High School for Global Citizenship	High School	48.0	C	11	F	B	C	D	3.3	Michelle Rochon	343	17.5%	8.7%	17.2%	67.6%	96.5%	5.2%	2.49	1.79
17K531	"School for Human Rights, The"	High School	79.8	A	89	B	A	A	C	7.1	Michael Alexander	251	15.9%	3.2%	12.4%	78.8%	96.4%	6.0%	2.61	2.11
17K533	School for Democracy and Leadership	High School	47.8	C	10	D	C	F	B	3.0	James Olearchik	313	17.3%	8.0%	14.1%	68.5%	97.8%	3.2%	2.51	1.86
17K537	High School for Youth and Community Development at Erasmus	High School	71.2	A	70	B	B	B	B	6.3	Mary Prendergast	383	19.1%	8.6%	18.5%	73.4%	96.6%	9.1%	2.47	1.73
17K539	High School for Service & Learning at Erasmus	High School	75.1	A	80	B	A	B	B	6.2	Peter Fabianski	422	20.6%	8.5%	20.9%	71.6%	96.0%	9.0%	2.50	1.71
17K543	"Science, Technology and Research Early College High School at Erasmus"	High School	79.6	A	88	A	A	A	A	0.4	Dr. Eric L. Blake	313	3.8%	0.0%	1.3%	66.2%	92.9%	0.0%	3.18	3.09
17K544	International Arts Business School	High School	.	.	.	.	.	.	.	.	Ms. Sheila Hanley	390	21.8%	8.5%	17.4%	77.2%	96.9%	7.9%	2.57	1.79
17K546	High School for Public Service: Heroes of Tomorrow	High School	72.6	A	74	B	A	A	B	1.8	Ben Shuldiner	417	7.0%	0.5%	3.1%	73.9%	95.4%	0.5%	3.05	2.87
17K547	Brooklyn Academy of Science and the Environment	High School	52.9	C	19	C	C	D	C	3.7	Veronica Peterson	470	13.8%	5.1%	6.6%	67.7%	94.0%	6.8%	2.72	2.28
17K548	Brooklyn School for Music & Theatre	High School	60.2	B	38	B	B	C	D	2.9	Pamela Randazzo-Dorcely	412	13.6%	2.4%	6.3%	69.2%	98.1%	0.5%	2.62	2.23
17K590	Medgar Evers College Preparatory School	High School	61.4	B	40	C	A	C	B	0.3	Dr. Michael A. Wiltshire	866	2.7%	0.0%	1.5%	57.2%	98.8%	0.0%	3.33	3.26
17K600	Clara Barton High School	High School	51.5	C	16	C	C	D	B	2.1	Dr. Richard A. Forman	1608	14.1%	9.8%	5.3%	71.3%	97.0%	8.6%	2.84	2.31
17K625	Paul Robeson High School	High School	.	.	.	.	.	.	.	.	Ronald Williams Wells	326	29.1%	18.4%	19.3%	75.2%	96.6%	3.4%	2.32	1.17
17K751	ACADEMY FOR HEALTH CAREERS	High School	.	.	.	.	.	.	.	.	Deonne Martin	137	17.5%	13.9%	11.7%	92.0%	94.9%	8.0%	2.71	1.96
18K563	It Takes a Village Academy	High School	98.7	A	100	A	A	A	A	12.9	Marina Vinitskaya	382	14.7%	5.0%	31.2%	78.3%	97.4%	30.4%	2.57	1.87
18K566	Brooklyn Generation School	High School	55.6	C	24	B	D	D	F	5.9	Lydia Colon Bomani	331	23.0%	8.5%	19.6%	67.7%	97.6%	6.0%	2.52	1.69
18K567	Brooklyn Theatre Arts High School	High School	47.9	C	11	C	C	F	F	5.1	Amy Murphy	382	25.1%	10.2%	11.3%	70.2%	97.1%	5.0%	2.57	1.75
18K569	Kurt Hahn Expeditionary Learning School	High School	72.4	A	73	B	A	B	A	6.0	Matt Brown	294	22.4%	6.5%	18.4%	68.0%	96.9%	9.9%	2.56	1.79
18K576	Victory Collegiate High School	High School	76.8	A	84	B	A	A	C	4.9	Marcel D. Deans	325	19.4%	7.1%	15.1%	72.3%	99.4%	5.2%	2.61	1.93
18K589	Arts & Media Preparatory Academy	High School	48.9	C	13	D	B	D	F	4.6	Robert Hall	293	18.8%	7.8%	8.9%	66.9%	99.0%	3.4%	2.55	1.93
18K617	High School for Innovation in Advertising and Media	High School	51.6	C	16	C	C	C	C	2.3	Adaleza Michelena	310	21.3%	11.3%	12.6%	63.2%	96.5%	8.4%	2.60	1.82
18K629	Cultural Academy for the Arts and Sciences	High School	67.0	B	58	B	B	B	B	4.2	Diane Varano	299	20.4%	11.4%	8.7%	81.6%	98.0%	7.7%	2.52	1.79
18K633	High School for Medical Professions	High School	74.5	A	77	A	A	C	F	3.2	Joseph Scarmato	459	12.0%	5.7%	4.1%	79.1%	97.6%	3.3%	2.85	2.45
18K637	Academy for Conservation and the Environment	High School	48.7	C	13	C	D	C	F	4.0	Eugene Mazzola	274	21.9%	10.9%	17.9%	66.4%	96.4%	7.7%	2.53	1.69
18K642	Urban Action Academy	High School	47.1	C	9	C	F	C	F	4.2	Abe Correa	305	16.1%	10.5%	15.7%	71.1%	93.4%	11.5%	2.53	1.84
19K404	Academy for Young Writers	High School	59.7	B	36	C	A	C	C	3.6	Courtney Winkfield	400	16.8%	8.5%	13.0%	70.3%	96.0%	2.8%	2.65	2.02
19K409	East New York Family Academy	High School	48.8	C	13	C	D	D	D	0.7	Sheila Richards	288	5.2%	0.7%	1.4%	75.5%	97.6%	0.7%	3.06	2.93
19K420	Franklin K. Lane High School	High School	.	.	.	.	.	.	.	.	Marlon Bynum	112	17.0%	7.1%	17.0%	46.4%	93.8%	52.7%	1.96	1.31
19K502	FDNY High School for Fire and Life Safety	High School	66.4	B	55	B	B	B	F	6.0	James Anderson	381	24.1%	8.7%	11.3%	75.1%	97.1%	5.2%	2.47	1.70
19K504	High School for Civil Rights	High School	51.9	C	17	D	B	C	F	5.3	Michael S. Steele	401	19.2%	9.7%	21.4%	69.3%	96.3%	10.5%	2.42	1.63
19K507	Performing Arts and Technology High School	High School	59.9	B	36	B	B	D	D	4.2	Reginald Richardson	453	21.0%	11.9%	12.4%	78.4%	98.9%	4.9%	2.52	1.74
19K510	World Academy for Total Community Health High School	High School	59.4	B	34	B	C	F	C	2.3	Kim Wanliss	380	20.5%	8.7%	14.7%	71.1%	95.5%	4.5%	2.53	1.80
19K583	Multicultural High School	High School	43.0	D	5	C	F	B	F	3.5	Alexandra Hernandez	406	1.2%	0.7%	26.6%	91.4%	100.0%	94.8%	2.18	1.88
19K615	Transit Tech Career and Technical Education High School	High School	56.8	C	26	C	B	D	B	4.0	Neil Harris	1317	17.9%	8.8%	7.0%	44.6%	93.6%	2.6%	2.69	2.09
19K618	Academy of Innovative Technology	High School	66.8	B	56	C	C	B	A	8.5	Cynthia Fowlkes	404	21.8%	11.4%	9.4%	74.3%	89.1%	12.1%	2.52	1.76
19K639	Brooklyn Lab School	High School	43.1	D	5	D	F	F	D	3.3	Renel Piton	397	23.4%	11.6%	17.4%	80.4%	96.2%	16.1%	2.48	1.61
19K659	Cypress Hills Collegiate Preparatory School	High School	45.2	D	7	D	F	C	D	3.7	Alex Maysonet	436	15.8%	6.9%	13.1%	71.6%	90.1%	17.4%	2.51	1.92
